koi,sig_tt_min,s_oc_min,pval,source
298.02,18.77,14.46,-0.0,Holczer+2016_J/ApJS/225/9_table4
299.01,12.47,10.23,0.0,Holczer+2016_J/ApJS/225/9_table4
301.01,13.26,12.62,-0.0,Holczer+2016_J/ApJS/225/9_table4
301.02,36.15,49.19,-0.1,Holczer+2016_J/ApJS/225/9_table4
303.01,3.12,5.30,-0.8,Holczer+2016_J/ApJS/225/9_table4
304.01,3.59,3.53,-0.0,Holczer+2016_J/ApJS/225/9_table4
305.01,7.33,6.16,0.0,Holczer+2016_J/ApJS/225/9_table4
306.01,4.22,3.70,-0.0,Holczer+2016_J/ApJS/225/9_table4
307.01,13.41,15.26,-0.0,Holczer+2016_J/ApJS/225/9_table4
307.02,26.12,28.12,-0.0,Holczer+2016_J/ApJS/225/9_table4
308.01,3.76,33.12,-16.,Holczer+2016_J/ApJS/225/9_table4
312.01,10.63,17.11,-1.0,Holczer+2016_J/ApJS/225/9_table4
312.02,11.58,11.73,-0.0,Holczer+2016_J/ApJS/225/9_table4
313.01,5.79,5.98,-0.0,Holczer+2016_J/ApJS/225/9_table4
313.02,9.50,8.32,-0.0,Holczer+2016_J/ApJS/225/9_table4
314.01,3.43,5.53,-1.0,Holczer+2016_J/ApJS/225/9_table4
314.02,4.26,18.23,-16.,Holczer+2016_J/ApJS/225/9_table4
315.01,3.12,92.14,-16.,Holczer+2016_J/ApJS/225/9_table4
316.01,6.41,6.61,-0.0,Holczer+2016_J/ApJS/225/9_table4
316.02,6.56,37.40,-16.,Holczer+2016_J/ApJS/225/9_table4
316.03,12.28,10.44,-0.0,Holczer+2016_J/ApJS/225/9_table4
317.01,8.17,8.88,-0.0,Holczer+2016_J/ApJS/225/9_table4
318.01,2.38,9.65,-16.,Holczer+2016_J/ApJS/225/9_table4
319.01,2.01,9.62,-16.,Holczer+2016_J/ApJS/225/9_table4
321.01,14.04,14.17,0.0,Holczer+2016_J/ApJS/225/9_table4
323.01,4.58,5.24,-0.0,Holczer+2016_J/ApJS/225/9_table4
326.01,13.20,12.50,-0.0,Holczer+2016_J/ApJS/225/9_table4
326.02,29.71,31.94,-0.1,Holczer+2016_J/ApJS/225/9_table4
327.01,18.02,18.61,-0.0,Holczer+2016_J/ApJS/225/9_table4
330.01,20.64,21.96,-0.0,Holczer+2016_J/ApJS/225/9_table4
331.01,15.21,15.48,-0.0,Holczer+2016_J/ApJS/225/9_table4
332.01,15.41,12.75,0.0,Holczer+2016_J/ApJS/225/9_table4
333.01,11.10,12.70,-0.0,Holczer+2016_J/ApJS/225/9_table4
337.01,16.18,11.56,-0.0,Holczer+2016_J/ApJS/225/9_table4
338.01,13.65,12.50,-0.0,Holczer+2016_J/ApJS/225/9_table4
339.01,14.24,16.84,-0.0,Holczer+2016_J/ApJS/225/9_table4
339.02,18.38,16.90,-0.0,Holczer+2016_J/ApJS/225/9_table4
