kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_steff,koi_slogg,koi_srad,koi_smass
"K00097.01",5780885,"Kepler-7 b","CONFIRMED","CANDIDATE",0.9990,4.885488596,134.2768785,0.361,5.16165,7458.4,16.66,0.0605,87.2,6036.00,3.968,1.9090,1.2360
"K00003.01",10748390,"Kepler-3 b","CONFIRMED","CANDIDATE",0.9130,4.887803076,124.8130808,0.054,2.36255,4315.8,4.82,0.053,89.82,4778.00,4.591,0.7630,0.8300
"K00137.03",8644288,"Kepler-18 b","CONFIRMED","CANDIDATE",1.0000,3.504691252,133.511941,0.741,1.9811,315.1,2.03,0.0434,85.52,5356.00,4.338,1.0550,0.8820
"K00084.01",2571238,"Kepler-19 b","CONFIRMED","CANDIDATE",1.0000,9.286964466,135.9945,0.004,3.3649,691.7,2.1,0.0835,89.99,5546.00,4.575,0.8100,0.9070
"K00137.01",8644288,"Kepler-18 c","CONFIRMED","CANDIDATE",1.0000,7.641567589,135.407564,0.027,3.41018,2269.7,4.91,0.0729,89.91,5356.00,4.338,1.0550,0.8820
"K00137.02",8644288,"Kepler-18 d","CONFIRMED","CANDIDATE",1.0000,14.85890852,128.154869,0.255,3.5252,3269,5.94,0.1136,89.56,5356.00,4.338,1.0550,0.8820
"K00070.02",6850504,"Kepler-20 b","CONFIRMED","CANDIDATE",1.0000,3.696121272,134.5014,0.016,2.463,383.4,1.78,0.0448,89.92,5465.00,4.449,0.9250,0.8760
"K00975.01",3632418,"Kepler-21 b","CONFIRMED","CANDIDATE",1.0000,2.785821236,260.83731,0.893,3.5599,68.9,1.69,0.0408,72.39,6202.00,4.026,1.7330,1.1620
"K00806.03",3832474,"Kepler-30 b","CONFIRMED","CANDIDATE",,29.1598615,150.69922,0.3619,4.803,488,1.91,0.1847,89.38,5485.00,4.556,0.8670,0.9860
"K00070.01",6850504,"Kepler-20 c","CONFIRMED","CANDIDATE",1.0000,10.854095934,138.608031,0.422,3.7768,1034.4,2.99,0.0919,88.83,5465.00,4.449,0.9250,0.8760
"K00070.03",6850504,"Kepler-20 d","CONFIRMED","CANDIDATE",0.5630,77.6114427,164.7292,0.094,7.1786,814.5,2.59,0.3411,89.94,5465.00,4.449,0.9250,0.8760
"K00070.04",6850504,"Kepler-20 e","CONFIRMED","CANDIDATE",0.9990,6.09855603,135.92906,0.21,2.9815,84.4,0.84,0.0626,89.22,5465.00,4.449,0.9250,0.8760
"K00070.05",6850504,"Kepler-20 f","CONFIRMED","CANDIDATE",0.9630,19.5776073,135.2032,0.049,3.382,98.1,0.9,0.1362,89.94,5465.00,4.449,0.9250,0.8760
"K00806.01",3832474,"Kepler-30 d","CONFIRMED","CANDIDATE",1.0000,143.2063047,154.23552,0.379,8.9302,10565.7,8.9,0.5336,89.83,5485.00,4.556,0.8670,0.9860
"K00277.02",11401755,"Kepler-36 b","CONFIRMED","CANDIDATE",0.0630,13.84984567,141.64914,0.012,7.2783,84.6,1.45,0.1133,89.95,5919.00,4.042,1.5850,1.0090
"K00277.01",11401755,"Kepler-36 c","CONFIRMED","CANDIDATE",1.0000,16.23191704,171.67758,0.017,7.461,501.6,3.54,0.1259,89.94,5919.00,4.042,1.5850,1.0090
"K00148.01",5735762,"Kepler-48 b","CONFIRMED","CANDIDATE",1.0000,4.77800306,124.061465,0.02,2.7361,473,1.85,0.0528,89.91,5192.00,4.489,0.8730,0.8560
"K00620.01",11773022,"Kepler-51 b","CONFIRMED","CANDIDATE",0.9780,45.15535633,159.10544,0.063,5.7845,6208.7,7.65,0.2528,89.94,6046.00,4.486,0.9720,1.0530
